,0
0,https://www.yelp.com/biz/tselogs-san-francisco-5?osq=Restaurants
1,https://www.yelp.com/biz/nicks-crispy-tacos-san-francisco-2?osq=Restaurants
2,https://www.yelp.com/biz/golden-boy-pizza-san-francisco?osq=Restaurants
3,https://www.yelp.com/biz/house-of-pancakes-san-francisco?osq=Restaurants
4,https://www.yelp.com/biz/the-bird-san-francisco?osq=Restaurants
5,https://www.yelp.com/biz/el-farolito-san-francisco-2?osq=Restaurants
6,https://www.yelp.com/biz/la-taqueria-san-francisco-2?osq=Restaurants
7,https://www.yelp.com/biz/thai-time-restaurant-san-francisco?osq=Restaurants
8,https://www.yelp.com/biz/super-duper-burgers-san-francisco-4?osq=Restaurants
9,https://www.yelp.com/biz/palmyra-san-francisco?osq=Restaurants
10,https://www.yelp.com/biz/yama-chan-san-francisco?osq=Restaurants
11,https://www.yelp.com/biz/new-fortune-restaurant-san-francisco?osq=Restaurants
12,https://www.yelp.com/biz/dragoneats-san-francisco-7?osq=Restaurants
13,https://www.yelp.com/biz/sam-wo-restaurant-san-francisco-3?osq=Restaurants
14,https://www.yelp.com/biz/t%C3%BA-lan-san-francisco-4?osq=Restaurants
15,https://www.yelp.com/biz/kim-son-vietnamese-restaurant-san-francisco?osq=Restaurants
16,https://www.yelp.com/biz/taboun-san-francisco?osq=Restaurants
17,https://www.yelp.com/biz/street-taco-san-francisco?osq=Restaurants
18,https://www.yelp.com/biz/pho-huynh-hiep-2-kevins-noodle-house-san-francisco?osq=Restaurants
19,https://www.yelp.com/biz/volcano-san-francisco?osq=Restaurants
20,https://www.yelp.com/biz/pushkin-san-francisco?osq=Restaurants
21,https://www.yelp.com/biz/yuanbao-jiaozi-san-francisco-2?osq=Restaurants
22,https://www.yelp.com/biz/pho-2000-san-francisco?osq=Restaurants
23,https://www.yelp.com/biz/good-luck-dim-sum-san-francisco?osq=Restaurants
24,https://www.yelp.com/biz/creator-san-francisco?osq=Restaurants
25,https://www.yelp.com/biz/truly-mediterranean-san-francisco?osq=Restaurants
26,https://www.yelp.com/biz/blaze-fast-fired-pizza-san-francisco?osq=Restaurants
27,https://www.yelp.com/biz/zen-yai-thai-restaurant-san-francisco?osq=Restaurants
28,https://www.yelp.com/biz/underground-grill-king-san-francisco?osq=Restaurants
29,https://www.yelp.com/biz/pancho-villa-taqueria-san-francisco?osq=Restaurants
30,https://www.yelp.com/biz/delicious-dim-sum-san-francisco?osq=Restaurants
31,https://www.yelp.com/biz/cordon-bleu-san-francisco?osq=Restaurants
32,https://www.yelp.com/biz/platform-248-san-francisco-5?osq=Restaurants
33,https://www.yelp.com/biz/hawaiian-drive-inn-san-francisco-3?osq=Restaurants
34,https://www.yelp.com/biz/kingdom-of-dumpling-san-francisco-7?osq=Restaurants
35,https://www.yelp.com/biz/silk-road-san-francisco-2?osq=Restaurants
36,https://www.yelp.com/biz/hai-ky-noodles-san-francisco?osq=Restaurants
37,https://www.yelp.com/biz/in-n-out-burger-san-francisco?osq=Restaurants
38,https://www.yelp.com/biz/pizza-squared-san-francisco?osq=Restaurants
39,https://www.yelp.com/biz/dinosaurs-san-francisco-4?osq=Restaurants
40,https://www.yelp.com/biz/good-mong-kok-bakery-san-francisco?osq=Restaurants
41,https://www.yelp.com/biz/saigon-sandwich-san-francisco?osq=Restaurants
