,Restaurants,Average Ratings,Number Of Reviews,Price Per Person,Review Average,Review_1,Review_2,Review_3,Review_4,Review_5,Review_6,Review_7,Review_8,Review_9,Review_10,Review_11,Review_12,Review_13,Review_14,Review_15,Review_16,Review_17,Review_18,Review_19,Review_20,Review_Average,Yelp Bias,Veg
0,La Taqueria,4.0,3995,1,4.4,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.4,-0.40000000000000036,False
1,Limón Rotisserie,4.0,3159,2,4.35,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.35,-0.34999999999999964,False
2,Foreign Cinema,4.0,4786,3,4.05,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.05,-0.04999999999999982,False
3,Sushi Hon,4.5,321,4,4.2,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,4.2,0.2999999999999998,False
4,El Farolito,4.0,4845,1,4.15,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.15,-0.15000000000000036,False
5,Al’s Place,4.0,758,3,4.15,4.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,4.15,-0.15000000000000036,False
6,Lazy Bear,4.5,587,4,4.55,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.55,-0.04999999999999982,False
7,MIXT,4.0,134,2,4.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,0.0,True
8,Indochine Vegan,3.5,345,2,3.8,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,3.8,-0.2999999999999998,True
9,Lucky Creation,4.0,531,1,4.2,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.2,-0.20000000000000018,True
10,Shizen Vegan Sushi Bar & Izakaya,4.5,1557,2,4.7,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.7,-0.20000000000000018,True
11,Greens Restaurant,4.0,2015,3,4.0,5.0,3.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,0.0,True
12,Nightbird,4.0,149,4,3.95,4.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,3.95,0.04999999999999982,True
13,Peasant Pies Noe Valley,4.0,284,1,4.2,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,4.0,5.0,4.0,5.0,4.2,-0.20000000000000018,True
14,Besharam,4.0,163,2,3.85,5.0,3.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,3.85,0.1499999999999999,True
15,Lucky Creation Vegeterian Restaurant,4.0,531,1,4.2,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.2,-0.20000000000000018,True
